,time,open,high,low,close,volume
0,2018-01-02,14.07,14.9,13.91,14.9,2903770
1,2018-01-03,14.9,14.93,14.62,14.79,2458110
2,2018-01-04,14.79,15.28,14.65,15.2,4424190
3,2018-01-05,15.17,15.2,14.87,15.12,1908830
4,2018-01-08,15.28,15.56,15.12,15.37,2053870
5,2018-01-09,15.37,15.42,14.35,15.12,4214750
6,2018-01-10,15.12,15.59,15.06,15.15,2817750
7,2018-01-11,15.17,15.31,14.98,15.23,1566970
8,2018-01-12,15.01,15.2,14.95,15.04,2484840
9,2018-01-15,14.93,15.28,14.76,15.06,1787190
10,2018-01-16,15.09,15.39,15.04,15.28,2368450
11,2018-01-17,15.28,15.51,14.9,14.9,2847680
12,2018-01-18,14.68,14.95,14.51,14.95,1833010
13,2018-01-19,15.01,15.06,14.68,14.84,3553540
14,2018-01-22,14.84,15.78,14.82,15.7,5040120
15,2018-01-23,15.7,15.7,15.7,15.7,0
16,2018-01-24,15.7,15.7,15.7,15.7,0
17,2018-01-25,16.06,16.77,15.89,16.77,7986250
18,2018-01-26,17.93,17.93,17.38,17.93,5677170
19,2018-01-29,18.21,19.17,18.21,19.09,4395390
20,2018-01-30,18.13,19.86,18.13,19.86,3283230
21,2018-01-31,20.53,20.55,18.87,18.87,1755870
22,2018-02-01,19.04,19.06,18.15,18.6,1894280
23,2018-02-02,18.37,18.93,18.26,18.6,1771520
24,2018-02-05,18.32,18.43,17.3,17.3,2790640
25,2018-02-06,16.11,17.0,16.11,16.11,3316700
26,2018-02-07,17.22,17.22,16.55,17.22,2058050
27,2018-02-08,17.22,18.1,17.22,17.77,2043470
28,2018-02-09,16.55,18.21,16.53,17.82,1800170
29,2018-02-12,18.21,19.06,17.93,19.06,2363270
30,2018-02-13,20.09,20.14,19.31,19.53,2458380
31,2018-02-21,19.86,20.89,19.64,20.64,2137010
32,2018-02-22,20.42,21.3,20.28,20.31,2856780
33,2018-02-23,20.42,20.69,19.81,20.47,3624350
34,2018-02-26,20.91,21.38,20.64,21.02,3516600
35,2018-02-27,21.02,21.41,20.75,21.05,2216610
36,2018-02-28,20.91,21.8,20.77,21.52,4521850
37,2018-03-01,21.3,21.85,20.69,20.86,2634150
38,2018-03-02,20.42,20.97,20.36,20.86,2378830
39,2018-03-05,21.11,21.19,19.42,19.42,2589100
40,2018-03-06,19.86,20.77,19.56,20.77,2525060
41,2018-03-07,20.97,21.02,20.36,20.69,2053190
42,2018-03-08,20.69,20.97,20.42,20.53,1132070
43,2018-03-09,20.69,20.97,20.42,20.55,2263330
44,2018-03-12,21.35,21.52,20.97,21.3,2014660
45,2018-03-13,21.3,21.63,20.97,21.63,1980080
46,2018-03-14,21.96,21.96,21.46,21.52,1996080
47,2018-03-15,21.52,23.01,21.35,23.01,3528060
48,2018-03-16,23.34,24.0,23.06,23.62,2628200
49,2018-03-19,23.73,23.78,22.73,23.01,2366180
50,2018-03-20,22.73,23.78,22.62,23.45,1866550
51,2018-03-21,24.0,24.17,23.51,24.0,1606790
52,2018-03-22,24.0,24.55,23.86,24.44,2525390
53,2018-03-23,24.0,24.06,22.84,23.37,3661530
54,2018-03-26,23.18,24.78,23.18,24.78,1932890
55,2018-03-27,25.38,25.71,24.33,24.33,2941390
56,2018-03-28,24.28,24.69,23.95,24.58,1672540
57,2018-03-29,24.58,24.66,24.17,24.28,896470
58,2018-03-30,24.17,24.25,23.53,23.95,2211040
59,2018-04-02,24.17,24.83,23.7,24.83,2610170
60,2018-04-03,25.0,25.27,24.66,24.89,1340170
61,2018-04-04,24.89,25.08,24.72,24.72,1511210
62,2018-04-05,24.72,24.72,24.14,24.28,1744010
63,2018-04-06,24.39,24.66,24.17,24.28,1469830
64,2018-04-09,24.44,24.83,23.95,24.5,2724810
65,2018-04-10,24.78,25.6,24.72,25.11,4181500
66,2018-04-11,25.82,25.82,24.28,24.55,2384910
67,2018-04-12,24.44,24.83,24.06,24.5,1816480
68,2018-04-13,24.55,24.72,23.01,23.18,3369270
69,2018-04-16,22.62,23.18,22.07,22.07,2207540
70,2018-04-17,22.07,23.12,21.91,23.12,2516280
71,2018-04-18,23.56,23.56,22.18,22.18,1196420
72,2018-04-19,22.18,22.29,20.86,20.97,2755020
73,2018-04-20,21.24,21.82,20.42,21.77,2415490
74,2018-04-23,21.96,22.43,20.25,20.25,3210890
75,2018-04-24,20.42,21.24,19.81,20.97,2503080
76,2018-04-26,20.86,21.24,19.59,20.14,2207270
77,2018-04-27,20.09,21.02,19.86,19.92,2026830
78,2018-05-02,20.25,20.36,18.54,18.54,1868640
79,2018-05-03,17.77,19.26,17.24,18.6,4169480
80,2018-05-04,18.82,19.04,17.93,17.93,1599340
81,2018-05-07,18.18,19.17,17.49,19.17,3558490
82,2018-05-08,19.17,20.39,18.98,19.59,3013460
83,2018-05-09,19.31,20.0,19.04,19.31,1843140
84,2018-05-10,18.98,19.64,17.96,18.04,2834040
85,2018-05-11,18.04,18.87,17.38,18.76,2116330
86,2018-05-14,19.09,19.15,18.6,18.93,918220
87,2018-05-15,18.93,19.31,18.76,19.09,2221560
88,2018-05-16,18.82,18.93,18.29,18.32,1856760
89,2018-05-17,18.32,18.48,18.04,18.21,1502680
90,2018-05-18,18.21,18.43,17.11,18.18,2937450
91,2018-05-21,18.18,18.18,17.38,17.38,2405890
92,2018-05-22,17.11,17.33,16.17,16.17,3119620
93,2018-05-23,15.89,16.83,15.86,16.8,1819230
94,2018-05-24,16.83,16.97,16.25,16.36,1089040
95,2018-05-25,16.47,16.61,15.28,15.28,2161610
96,2018-05-28,14.95,15.01,14.24,14.24,3902270
97,2018-05-29,14.62,15.23,14.24,15.23,2874020
98,2018-05-30,15.45,15.73,15.09,15.23,2144210
99,2018-05-31,15.06,16.22,15.06,16.14,3412580
100,2018-06-01,16.0,16.94,15.89,16.39,3634920
101,2018-06-04,16.0,16.88,15.67,16.83,4878280
102,2018-06-05,16.72,17.22,16.33,16.77,3066250
103,2018-06-06,16.8,17.55,16.44,17.55,2532640
104,2018-06-07,17.55,17.77,17.22,17.22,3704890
105,2018-06-08,17.22,17.49,17.0,17.38,2683390
106,2018-06-11,17.16,17.63,17.11,17.11,2320290
107,2018-06-12,16.72,16.83,15.92,16.33,4314510
108,2018-06-13,16.33,16.55,16.08,16.36,1672030
109,2018-06-14,16.39,16.5,15.62,15.62,3869180
110,2018-06-15,15.45,16.0,15.34,16.0,2262000
111,2018-06-18,16.0,16.03,15.01,15.06,2873220
112,2018-06-19,14.79,14.9,14.02,14.79,5460120
113,2018-06-20,14.95,15.45,14.71,15.45,2364060
114,2018-06-21,15.23,15.45,14.68,14.79,2073850
115,2018-06-22,14.37,15.26,14.37,15.17,2281830
116,2018-06-25,15.48,15.81,15.39,15.56,1937980
117,2018-06-26,15.17,15.51,15.06,15.34,1283390
118,2018-06-27,15.34,15.56,14.79,14.79,1931320
119,2018-06-28,14.57,14.79,14.24,14.29,3833920
120,2018-06-29,14.35,14.73,14.18,14.35,2112720
121,2018-07-02,14.07,14.35,13.44,13.66,3542250
122,2018-07-03,13.68,13.88,12.72,12.72,4944960
123,2018-07-04,12.72,12.77,12.11,12.64,4641640
124,2018-07-05,12.44,12.72,11.75,11.92,3044050
125,2018-07-06,11.81,12.75,11.5,12.75,5061910
126,2018-07-09,13.02,13.46,12.83,12.86,5423120
127,2018-07-10,13.08,13.44,12.91,13.05,3612750
128,2018-07-11,12.58,12.69,12.14,12.19,5441810
129,2018-07-12,12.36,13.02,12.17,12.69,2508790
130,2018-07-13,12.97,13.24,12.86,12.97,3138160
131,2018-07-16,13.24,13.46,13.08,13.33,2912010
132,2018-07-17,13.02,13.88,13.02,13.74,3991770
133,2018-07-18,13.79,14.46,13.74,14.43,4012340
134,2018-07-19,14.35,14.46,14.07,14.24,3344910
135,2018-07-20,14.02,14.29,13.68,14.02,4279270
136,2018-07-23,14.02,14.46,13.68,13.68,3124370
137,2018-07-24,13.63,14.07,13.24,13.68,2591310
138,2018-07-25,13.79,13.88,13.02,13.02,2773760
139,2018-07-26,13.02,13.3,12.83,13.3,2364560
140,2018-07-27,13.3,13.77,13.24,13.68,2031060
141,2018-07-30,13.91,14.51,13.79,14.51,3793610
142,2018-07-31,14.46,14.87,14.26,14.51,5307160
143,2018-08-01,14.51,14.79,14.35,14.51,3487790
144,2018-08-02,14.35,14.46,13.96,14.46,3523250
145,2018-08-03,14.68,14.73,14.51,14.65,2585620
146,2018-08-06,14.68,15.23,14.37,14.82,3262290
147,2018-08-07,14.51,15.28,14.51,15.15,3707270
148,2018-08-08,15.17,16.11,15.17,16.11,4507240
149,2018-08-09,16.28,16.44,15.89,15.92,3444030
150,2018-08-10,15.78,16.5,15.73,16.5,4423770
151,2018-08-13,16.39,17.02,16.33,16.83,3670180
152,2018-08-14,16.83,16.91,16.5,16.55,2187220
153,2018-08-15,16.83,16.94,15.78,16.17,4946070
154,2018-08-16,15.97,16.58,15.45,16.55,5017400
155,2018-08-17,16.88,17.49,16.61,17.16,4664800
156,2018-08-20,17.11,17.55,17.0,17.33,3573200
157,2018-08-21,17.11,18.21,17.11,18.21,4070460
158,2018-08-22,18.32,18.6,17.88,17.93,4346680
159,2018-08-23,18.04,18.48,17.77,18.24,3335590
160,2018-08-24,17.99,18.51,17.99,18.43,2775350
161,2018-08-27,18.6,18.82,18.46,18.76,2541980
162,2018-08-28,18.93,18.93,18.37,18.6,2582530
163,2018-08-29,18.6,18.82,18.51,18.57,2319810
164,2018-08-30,18.54,19.26,18.48,19.26,3286300
165,2018-08-31,19.2,19.31,18.93,18.98,2336200
166,2018-09-04,18.76,18.76,17.77,17.93,4088990
167,2018-09-05,17.77,18.4,17.74,18.26,3283340
168,2018-09-06,18.26,18.32,17.88,18.07,1923190
169,2018-09-07,17.93,18.84,17.93,18.71,3171020
170,2018-09-10,18.65,19.04,18.48,18.76,3078830
171,2018-09-11,18.76,19.53,18.71,19.48,4371130
